what,kind,bundleId,bundleVersion,description,time
processors,sysinfo,,,"12",1783174110413
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1783174110413
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1783174110413
java.specification.name,sysinfo,,,"Java Platform API Specification",1783174110413
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1783174110413
java.specification.version,sysinfo,,,"1.6",1783174110413
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1783174110413
java.version,sysinfo,,,"1.6.0_23",1783174110413
java.vm.info,sysinfo,,,"mixed mode",1783174110413
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1783174110413
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1783174110413
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1783174110413
java.vm.specification.version,sysinfo,,,"1.0",1783174110413
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1783174110413
java.vm.version,sysinfo,,,"19.0-b09",1783174110413
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1783174110654
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1783174112465
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1783174122109
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1783174123151
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1783174149508
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1783174149517
started,bundle,com.altera.sbtgui.core,13.13.0.132,"com.altera.sbtgui.core",1783174149863
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1783174149889
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1783174152002
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1783174152349
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1783174152461
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1783174152786
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1783174167107
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1783174170624
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1783174170656
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1783174170658
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1783174173661
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1783174173662
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1783174173663
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1783174173691
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1783174175636
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1783174180161
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1783174187854
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1783174190992
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1783174198448
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1783174210845
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1783174216117
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1783174218294
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1783174220310
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1783174227523
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1783174227639
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1783174253581
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1783174254910
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1783174272831
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1783174277216
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1783174278740
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1783174280686
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1783174281345
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1783174285764
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1783174288099
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1783174288889
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1783174288894
opened,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1783174292823
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1783174293162
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1783174293170
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1783174372385
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1783174375955
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1783174375966
